Summary,Issue Type,Priority,Description,Story Points,Epic Name,Epic Link,Sprint,Labels,Component/s
[EPIC] Configuração de Edital com Análise Documental,Epic,High,Permitir cadastrar editais com critério Análise Documental pesos de entrevista pontuação máxima e checkboxes de etapas.,,Configuração de Edital com Análise Documental,,,,
[EPIC] Gestão de Calendários de Etapas,Epic,High,CRUD de calendários por edital ou por curso/oferta com vinculação a etapas do processo seletivo.,,Gestão de Calendários de Etapas,,,,
[EPIC] Inscrição com Pontuação Declarada,Epic,High,Candidato envia documentos com pontuação sistema valida tetos e bloqueia excesso.,,Inscrição com Pontuação Declarada,,,,
[EPIC] Análise e Classificação Documental,Epic,Highest,Analista pontua documentos calcula pontuação final com pesos desclassifica corrige pontuação manualmente.,,Análise e Classificação Documental,,,,
[EPIC] Recurso da Análise Documental,Epic,High,Candidato interpõe recurso via portal analista julga com nova pontuação.,,Recurso da Análise Documental,,,,
[EPIC] Perfil Analista de Documento,Epic,Medium,Novo perfil com permissões restritas a cursos/ofertas vinculados.,,Perfil Analista de Documento,,,,
US-01 | Cadastrar critério Análise Documental no edital,Story,High,"Como profissional da [SETOR SOLICITANTE] quero selecionar Análise Documental como critério de seleção no cadastro do edital para que o sistema habilite o fluxo de análise documental para aquele processo seletivo.

Critérios de aceite:
Cenário: Selecionar Análise Documental como critério
  Dado que estou no cadastro de um novo edital
  Quando seleciono Análise Documental no campo critério de seleção
  Então o sistema salva o critério como Análise Documental
  E o campo Pontuação máxima total torna-se obrigatório

Cenário: Editar edital existente com critério já definido
  Dado que o edital já possui critério Importação da classificação
  Quando tento alterar para Análise Documental
  Então o sistema exibe alerta sobre desconsideração de dados importados
  E ao confirmar o critério é alterado

Dependências: Nenhuma
Definition of Ready: ✅ INVEST validado",3,,[EPIC] Configuração de Edital com Análise Documental,,gestao-processos complexidade-P,edital processo-seletivo
US-02 | Configurar pesos de entrevista no edital,Story,High,"Como profissional da [SETOR SOLICITANTE] quero definir os pesos de análise documental e entrevista em percentuais ao cadastrar um edital com entrevista para que o sistema calcule automaticamente a pontuação final ponderada.

Critérios de aceite:
Cenário: Configurar pesos quando edital terá entrevista
  Dado que marquei Terá entrevista?
  Quando informo peso 60% para análise documental e 40% para entrevista
  Então o sistema valida que a soma é 100%
  E salva os pesos vinculados ao edital

Cenário: Pesos não somam 100%
  Dado que estou configurando os pesos
  Quando informo 50% e 40%
  Então o sistema exibe erro A soma dos pesos deve ser 100%

Dependências: US-01
Definition of Ready: ✅ INVEST validado",2,,[EPIC] Configuração de Edital com Análise Documental,,gestao-processos complexidade-P,edital
US-03 | Cadastrar calendário de etapa por edital,Story,High,"Como profissional da [SETOR SOLICITANTE] quero cadastrar um calendário de etapa com escopo por edital para que todas as ofertas do edital compartilhem as mesmas datas de início fim e publicação.

Critérios de aceite:
Cenário: Cadastrar calendário por edital
  Dado que estou no cadastro de calendário
  Quando seleciono tipo Análise Documental escopo Por edital
  E informo início fim e publicação
  Então o sistema salva o calendário vinculado ao edital

Cenário: Data de publicação anterior à data de fim
  Dado que estou cadastrando um calendário
  Quando informo data de publicação anterior à data de fim
  Então o sistema exibe erro e não permite salvar

Dependências: Nenhuma
Definition of Ready: ✅ INVEST validado",3,,[EPIC] Gestão de Calendários de Etapas,,calendario complexidade-P,calendario edital
US-04 | Cadastrar calendário de etapa por curso/oferta,Story,High,"Como profissional da [SETOR SOLICITANTE] quero cadastrar calendários com escopo por curso/oferta para que cada oferta de um edital possa ter datas distintas.

Critérios de aceite:
Cenário: Cadastrar calendário por oferta
  Dado que estou no cadastro de calendário
  Quando seleciono escopo Por curso/oferta e uma oferta específica
  E informo datas
  Então o sistema salva o calendário vinculado à oferta

Cenário: Edital com 3 cursos tem 3 calendários distintos
  Dado um edital com 3 ofertas
  Quando cadastro 3 calendários por curso para Análise Documental
  Então cada oferta possui seu calendário independente

Dependências: Nenhuma
Definition of Ready: ✅ INVEST validado",3,,[EPIC] Gestão de Calendários de Etapas,,calendario complexidade-P,calendario oferta
US-05 | Configurar tipo de documento com pontuação,Story,High,"Como administrador quero marcar tipo de documento com Requer pontuação? e definir teto para que apenas documentos pontuáveis exibam campo de pontuação na inscrição.

Critérios de aceite:
Cenário: Ativar pontuação em tipo de documento
  Dado que estou no cadastro de Tipos de Documento
  Quando marco Requer pontuação? e defino teto de 30 pontos
  Então o sistema salva a configuração

Cenário: Tipo sem pontuação
  Dado que RG não está marcado com Requer pontuação?
  Quando o candidato visualiza o formulário
  Então RG aparece sem campo de pontuação

Dependências: Nenhuma
Definition of Ready: ✅ INVEST validado",2,,[EPIC] Inscrição com Pontuação Declarada,,documentos complexidade-P,tipos-documento parametros
